rname,0,1,2,3,4,5,6,7,8,9,10
Zn66-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.057142904435673e-08,0.002389695571067339,0.0036870455206574307
Zn66-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96184648662308e-09,0.0009129312932469146
Zn66-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7570382895071105e-09,0.020294357132328026,0.02245071017115493
Zn66-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.144353461203307e-05,0.0007899871200697644,0.0003932663581721272
Zn67-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.956886162267239e-05,0.0005845270473834518
Zn67-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7277655447137987e-11,0.00013663413167323789,0.00018240089231715147
Zn67-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310269781877035,0.002705854156173006
Zn67-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1791089451566296e-05
Zn67-169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0566330798381156e-05
Zn67-172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4169593957218339e-12,3.029856097077473e-05
Zn67-103,4.111855843065582e-05,1.0498944690780563e-05,3.899146768972344e-06,1.9360926449645524e-06,7.63934269834127e-07,2.6795925722724825e-05,1.5916013537296877e-07,0.00015039473887182468,0.0008068084528398546,0.0005491350389517021,0.00017915136721613495
Zn68-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017081445133845707,0.009571376560820804,0.008004159294409726
Zn68-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.174786879155986e-05,0.0006191278891135939
Zn68-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.452433083650148e-09,0.003078019368544008
Zn68-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.335097712319766e-07,0.0010623365882516246
